pop,model,method,value,Type,Cutoff
Overall,1_c1,LR,0.6193730182460726,1,c1
Female,1_c1,LR,0.6189757683724465,1,c1
Non-German,1_c1,LR,0.5702078425023874,1,c1
Non-Ger. M,1_c1,LR,0.5516399687859069,1,c1
Non-Ger. F,1_c1,LR,0.5789636756164965,1,c1
Overall,1_c2,LR,0.6339876920441901,1,c2
Female,1_c2,LR,0.642395722494375,1,c2
Non-German,1_c2,LR,0.5399093563294549,1,c2
Non-Ger. M,1_c2,LR,0.5184539499960061,1,c2
Non-Ger. F,1_c2,LR,0.5653919547886268,1,c2
Overall,1_c1,PLR,,1,c1
Female,1_c1,PLR,,1,c1
Non-German,1_c1,PLR,,1,c1
Non-Ger. M,1_c1,PLR,,1,c1
Non-Ger. F,1_c1,PLR,,1,c1
Overall,1_c2,PLR,,1,c2
Female,1_c2,PLR,,1,c2
Non-German,1_c2,PLR,,1,c2
Non-Ger. M,1_c2,PLR,,1,c2
Non-Ger. F,1_c2,PLR,,1,c2
Overall,1_c1,RF,,1,c1
Female,1_c1,RF,,1,c1
Non-German,1_c1,RF,,1,c1
Non-Ger. M,1_c1,RF,,1,c1
Non-Ger. F,1_c1,RF,,1,c1
Overall,1_c2,RF,,1,c2
Female,1_c2,RF,,1,c2
Non-German,1_c2,RF,,1,c2
Non-Ger. M,1_c2,RF,,1,c2
Non-Ger. F,1_c2,RF,,1,c2
Overall,1_c1,GBM,,1,c1
Female,1_c1,GBM,,1,c1
Non-German,1_c1,GBM,,1,c1
Non-Ger. M,1_c1,GBM,,1,c1
Non-Ger. F,1_c1,GBM,,1,c1
Overall,1_c2,GBM,,1,c2
Female,1_c2,GBM,,1,c2
Non-German,1_c2,GBM,,1,c2
Non-Ger. M,1_c2,GBM,,1,c2
Non-Ger. F,1_c2,GBM,,1,c2
